"coral_tag","host_species","expedition","health_status","max_colony_width"
"409","Montipora aequituberculata","2014","alive","46.539"
"409","Montipora aequituberculata","2015c","alive","34.365"
"409","Montipora aequituberculata","2017","dead",NA
"413","Pocillopora grandis","2014","alive","27.764"
"413","Pocillopora grandis","2015c","alive","64.951"
"414","Montipora aequituberculata","2014","alive","51.679"
"414","Montipora aequituberculata","2015c","alive not sampled",NA
"414","Montipora aequituberculata","2017","dead",NA
"414b","Montipora aequituberculata","2015c","alive","56.334"
"414b","Montipora aequituberculata","2017","dead",NA
"417","Pocillopora grandis","2014","alive",NA
"418","Montipora aequituberculata","2014","alive","82.012"
"419","Pocillopora grandis","2014","alive","26.439"
"422","Pocillopora grandis","2014","alive","26.383"
"422","Pocillopora grandis","2015c","alive","41.386"
"422","Pocillopora grandis","2017","dead","NA"
"423","Montipora aequituberculata","2014","alive","64.41"
"423","Montipora aequituberculata","2015c","alive","53.557"
"423","Montipora aequituberculata","2017","dead",NA
"424","Montipora aequituberculata","2014","alive","47.078"
"424","Montipora aequituberculata","2015c","alive","37.273"
"424","Montipora aequituberculata","2017","dead",NA
"426","Pocillopora grandis","2014","alive","26.493"
"427","Pocillopora grandis","2014","alive","25.445"
"427","Pocillopora grandis","2015b","alive","34.781"
"427","Pocillopora grandis","2015c","alive","38.012"
"427","Pocillopora grandis","2016a","dead",NA
"428","Montipora aequituberculata","2014","alive","32.081"
"428","Montipora aequituberculata","2015b","alive","49.739"
"428","Montipora aequituberculata","2015c","alive","53.048"
"428","Montipora aequituberculata","2016a","dead or gone",NA
"432","Pocillopora grandis","2014","alive","27.451"
"432","Pocillopora grandis","2016a","dead or gone",NA
"436","Pocillopora grandis","2014","alive","31.472"
"436","Pocillopora grandis","2015b","alive","39.236"
"437","Montipora aequituberculata","2014","alive","51.169"
"437","Montipora aequituberculata","2015b","alive","42.65"
"437","Montipora aequituberculata","2015c","alive","50.807"
"437","Montipora aequituberculata","2016a","dead",NA
"440","Pocillopora grandis","2014","alive","35.429"
"440","Pocillopora grandis","2015b","alive","46.927"
"440","Pocillopora grandis","2015c","alive","50.524"
"440","Pocillopora grandis","2016a","dead",NA
"443","Montipora aequituberculata","2014","alive","36.596"
"443","Montipora aequituberculata","2015b","alive","36.631"
"443","Montipora aequituberculata","2015c","alive","34.514"
"443","Montipora aequituberculata","2016a","dead",NA
"446","Montipora aequituberculata","2014","alive","58.28"
"446","Montipora aequituberculata","2015b","alive","46.405"
"446","Montipora aequituberculata","2015c","alive","29.064"
"446","Montipora aequituberculata","2016a","dead",NA
"448","Montipora aequituberculata","2014","alive","29.922"
"448","Montipora aequituberculata","2015a","alive","23.728"
"450","Pocillopora grandis","2014","alive","32.109"
"452","Pocillopora grandis","2014","alive","24.133"
"453b","Pocillopora grandis","2015a","alive","21.621"
"456","Montipora aequituberculata","2014","alive","43.534"
"456","Montipora aequituberculata","2015a","alive","37.047"
"456","Montipora aequituberculata","2015b","alive","44.943"
"460","Pocillopora grandis","2014","alive","21.872"
"463","Pocillopora grandis","2014","alive","17.872"
"468","Pocillopora grandis","2014","alive","21.427"
"468","Pocillopora grandis","2015a","alive","16.423"
"469","Pocillopora grandis","2014","alive","25.625"
"469","Pocillopora grandis","2015a","alive","35.265"
"469","Pocillopora grandis","2015b","alive","19.222"
"475","Montipora aequituberculata","2014","alive","48.177"
"477","Pocillopora grandis","2014","alive","20.44"
"477","Pocillopora grandis","2015a","alive not sampled",NA
"477","Pocillopora grandis","2015b","alive not sampled",NA
"477","Pocillopora grandis","2015c","alive not sampled","26.679"
"477","Pocillopora grandis","2016a","dead",NA
"477b","Pocillopora grandis","2015a","alive","18.59"
"477b","Pocillopora grandis","2015b","alive","15.121"
"477b","Pocillopora grandis","2015c","alive","32.303"
"477b","Pocillopora grandis","2016a","dead",NA
"480","Montipora aequituberculata","2014","alive","52.578"
"481","Pocillopora grandis","2014","alive","28.441"
"481","Pocillopora grandis","2015b","alive","26.795"
"484","Montipora aequituberculata","2014","alive","27.225"
"485","Pocillopora grandis","2014","alive","32.3"
"490","Montipora aequituberculata","2014","alive","32.711"
"490","Montipora aequituberculata","2015b","alive","29.813"
"490","Montipora aequituberculata","2015c","alive","39.591"
"490","Montipora aequituberculata","2016a","dead",NA
"494","Pocillopora grandis","2014","alive","35.39"
"494","Pocillopora grandis","2016a","dead",NA
"496","Montipora aequituberculata","2014","alive","75.505"
"496","Montipora aequituberculata","2015b","alive","26.739"
"496","Montipora aequituberculata","2015c","alive","40.265"
"496","Montipora aequituberculata","2016a","dead",NA
"498","Pocillopora grandis","2014","alive","43.369"
